A_x [g],A_y [g],A_z [g],G_x [mdps],G_y [mdps],G_z [mdps]
-0.008784,0.000488,1.004792,7910.000000,-51940.000000,37520.000000
-0.003416,-0.000488,1.008696,8190.000000,-50610.000000,38150.000000
-0.007320,-0.000488,1.008696,8470.000000,-49210.000000,38990.000000
-0.010736,0.000000,1.007720,8750.000000,-48020.000000,39970.000000
-0.011712,-0.000976,1.011136,8960.000000,-46550.000000,40810.000000
-0.012200,0.003416,1.005280,9030.000000,-45010.000000,41510.000000
-0.009760,0.000976,1.003816,9310.000000,-43680.000000,42420.000000
-0.004880,0.002928,1.010160,9590.000000,-42490.000000,43260.000000
-0.006344,0.011224,1.010160,9870.000000,-41160.000000,44100.000000
-0.005368,0.004392,1.002352,10010.000000,-39830.000000,44940.000000
-0.005856,0.001952,1.001864,10220.000000,-38570.000000,45780.000000
-0.012688,0.005368,1.001864,10220.000000,-37100.000000,46620.000000
-0.010736,-0.000488,1.000400,10360.000000,-35700.000000,47600.000000
-0.010736,-0.003904,1.002352,10500.000000,-34300.000000,48370.000000
-0.007320,-0.000488,1.009184,10500.000000,-32900.000000,49210.000000
-0.004392,0.000488,1.008208,10640.000000,-31640.000000,50190.000000
-0.005856,0.002440,1.003328,10920.000000,-30100.000000,51240.000000
-0.010248,0.001464,1.006256,10920.000000,-28560.000000,52150.000000
-0.003416,0.000000,1.005280,10990.000000,-27230.000000,52920.000000
-0.001464,0.005368,1.005280,10990.000000,-25620.000000,53760.000000
-0.008296,-0.001464,1.008208,10990.000000,-24290.000000,54600.000000
-0.005368,-0.001464,1.003816,10990.000000,-22890.000000,55580.000000
-0.007808,0.005368,1.005768,10920.000000,-21490.000000,56630.000000
-0.007808,0.002440,1.010160,10990.000000,-19950.000000,57610.000000
-0.008784,0.000976,1.011136,11060.000000,-18130.000000,58310.000000
-0.015128,-0.001464,1.009672,11060.000000,-16520.000000,59220.000000
-0.010736,0.002440,1.003816,10990.000000,-15260.000000,60200.000000
-0.007808,0.006344,1.004304,10920.000000,-13860.000000,61110.000000
-0.006344,0.003416,1.009184,10920.000000,-12390.000000,62020.000000
-0.005368,-0.002928,1.010648,10850.000000,-10920.000000,62930.000000
-0.007320,0.000488,1.009672,10850.000000,-9660.000000,63840.000000
-0.007320,0.004392,1.004792,10780.000000,-8190.000000,64750.000000
-0.009272,0.000000,1.004304,10780.000000,-6790.000000,65590.000000
-0.008296,0.000976,1.006256,10990.000000,-5530.000000,66500.000000
-0.007320,0.002928,1.007720,10850.000000,-4200.000000,67410.000000
-0.004880,0.001464,1.008696,10500.000000,-2660.000000,68320.000000
-0.003904,0.004392,1.007720,10290.000000,-1400.000000,69160.000000
-0.009760,0.001464,1.005280,10150.000000,-490.000000,69790.000000
-0.006832,0.000000,0.999424,10010.000000,770.000000,70560.000000
-0.007320,0.000488,1.006256,10080.000000,2100.000000,71470.000000
-0.007320,-0.000976,1.011136,10150.000000,3360.000000,72380.000000
-0.006832,0.002440,1.007232,10080.000000,4620.000000,73080.000000
-0.009760,0.000488,1.003328,10150.000000,5880.000000,73920.000000
-0.013664,-0.002928,1.005768,10150.000000,7140.000000,74620.000000
-0.014640,-0.003416,1.010160,10010.000000,8400.000000,75390.000000
-0.008296,-0.001464,1.004304,9940.000000,9590.000000,76160.000000
-0.005368,-0.003904,1.000888,9940.000000,10710.000000,76720.000000
-0.007808,-0.006344,1.004792,10150.000000,11900.000000,77280.000000
-0.007808,0.002440,1.006744,10290.000000,12880.000000,78050.000000
-0.007808,-0.000976,1.008696,10430.000000,13860.000000,78750.000000
-0.004880,-0.005368,1.006744,10640.000000,14980.000000,79380.000000
-0.001464,0.000976,1.004792,10920.000000,16100.000000,79940.000000
-0.008296,0.004392,1.008208,10990.000000,17080.000000,80640.000000
-0.008296,0.002440,1.007720,11270.000000,17780.000000,81060.000000
-0.005368,-0.002440,1.004304,11690.000000,18830.000000,81550.000000
-0.009272,-0.004392,1.001376,12040.000000,19950.000000,82040.000000
-0.006832,0.000976,1.001864,12180.000000,20650.000000,82460.000000
-0.007320,-0.000488,1.007232,12600.000000,21490.000000,82950.000000
-0.009272,-0.000488,1.006744,12740.000000,22260.000000,83440.000000
-0.004880,0.000488,1.002840,12950.000000,23030.000000,83860.000000
-0.005856,-0.000976,1.001376,13510.000000,23870.000000,84280.000000
-0.010248,0.004880,1.000400,14000.000000,24570.000000,84560.000000
-0.007320,0.000000,1.008208,14490.000000,25130.000000,84840.000000
-0.007320,0.002928,1.006744,14910.000000,25900.000000,85190.000000
-0.008296,0.000488,1.003328,15120.000000,26320.000000,85540.000000
-0.008296,0.000488,1.009672,15400.000000,27020.000000,85750.000000
-0.011712,0.000976,1.006744,15960.000000,27790.000000,85960.000000
-0.015616,-0.003416,1.005768,16590.000000,28420.000000,86310.000000
-0.011224,0.003416,1.009184,17080.000000,28840.000000,86520.000000
-0.004880,0.004392,1.004792,17500.000000,29400.000000,86660.000000
-0.004880,-0.003416,1.001864,17990.000000,30030.000000,86940.000000
-0.003416,-0.003416,1.010648,18480.000000,30590.000000,87010.000000
-0.003416,0.001952,1.006744,18970.000000,30940.000000,87010.000000
-0.002440,0.000488,1.002352,19530.000000,31360.000000,87360.000000
-0.007320,-0.004392,1.006744,20160.000000,31780.000000,87640.000000
-0.005856,0.000488,1.006256,20510.000000,32340.000000,87640.000000
-0.005368,0.007808,1.001864,21000.000000,32830.000000,87780.000000
-0.012200,0.000000,0.998448,21630.000000,33250.000000,88060.000000
-0.010736,0.001952,1.005768,21980.000000,33670.000000,88270.000000
-0.006344,0.007320,1.003328,22400.000000,34230.000000,88340.000000
-0.005856,0.001952,1.005768,23030.000000,34580.000000,88550.000000
-0.005368,0.006344,1.005280,23450.000000,34860.000000,88830.000000
-0.003416,0.006344,1.003816,23800.000000,35420.000000,89040.000000
-0.011712,-0.000976,1.009184,24220.000000,36120.000000,89180.000000
-0.012200,-0.000488,1.002840,24710.000000,36540.000000,89530.000000
-0.010736,0.001952,1.003328,25060.000000,36960.000000,89810.000000
-0.012688,-0.001464,1.000888,25550.000000,37660.000000,90090.000000
-0.009760,0.001952,1.003328,26040.000000,38430.000000,90370.000000
-0.008784,0.002928,1.001864,26390.000000,39060.000000,90650.000000
-0.007320,-0.001464,1.002840,26880.000000,39690.000000,90930.000000
-0.004880,0.004880,1.000400,27300.000000,40460.000000,91210.000000
-0.006344,0.003416,0.999424,27720.000000,41230.000000,91700.000000
-0.006832,0.001952,1.005768,28210.000000,41790.000000,91980.000000
-0.001464,0.000488,1.000400,28490.000000,42350.000000,92120.000000
-0.010248,-0.001464,1.001864,28840.000000,43190.000000,92400.000000
-0.009760,0.004880,0.999424,29400.000000,44030.000000,92750.000000
-0.004392,0.003904,1.004792,29820.000000,44870.000000,93030.000000
-0.010248,0.000976,1.009184,30030.000000,45570.000000,93240.000000
-0.009272,-0.000976,1.005280,30380.000000,46410.000000,93450.000000
-0.005368,0.000000,1.007720,30870.000000,47530.000000,93940.000000
-0.004392,0.001952,1.005768,31360.000000,48440.000000,94430.000000
-0.008784,0.002440,1.005280,31570.000000,49210.000000,94570.000000
-0.003416,0.001464,1.005768,31780.000000,50260.000000,94780.000000
-0.006832,-0.001464,1.004792,32130.000000,51100.000000,95060.000000
-0.008296,-0.002440,1.004792,32690.000000,51940.000000,95340.000000
-0.003416,-0.001952,1.003816,32970.000000,52920.000000,95550.000000
-0.009272,0.000976,1.006744,33110.000000,53900.000000,95690.000000
-0.011224,-0.003416,1.006744,33460.000000,55020.000000,95830.000000
-0.007320,-0.001464,1.006256,33740.000000,56210.000000,96040.000000
-0.006832,0.004880,1.005280,34020.000000,57190.000000,96250.000000
-0.005856,0.002440,1.003816,34300.000000,58170.000000,96320.000000
-0.007320,-0.001464,1.005768,34510.000000,59080.000000,96460.000000
-0.008784,-0.007320,1.005280,34790.000000,60060.000000,96600.000000
-0.005368,-0.000976,1.006256,35000.000000,61110.000000,96600.000000
-0.007320,0.000488,1.004304,34860.000000,62160.000000,96670.000000
-0.008296,0.002440,1.003328,35000.000000,63350.000000,96670.000000
-0.008784,0.004392,1.002840,35210.000000,64680.000000,96530.000000
-0.004880,0.000000,1.004792,35350.000000,65800.000000,96460.000000
-0.006832,0.001464,1.008208,35560.000000,67060.000000,96600.000000
-0.005856,0.002440,1.002352,35560.000000,68110.000000,96530.000000
-0.003904,0.005856,1.000400,35420.000000,69160.000000,96390.000000
-0.008784,0.003904,1.000400,35280.000000,70420.000000,96320.000000
-0.006344,-0.003416,1.002840,35210.000000,71750.000000,96250.000000
-0.005368,-0.000976,1.007720,35350.000000,73080.000000,95900.000000
-0.006344,-0.000488,1.010160,35490.000000,74270.000000,95690.000000
-0.009272,0.000976,1.008696,35420.000000,75390.000000,95620.000000
-0.005368,0.003416,1.005280,35140.000000,76720.000000,95550.000000
-0.008784,0.000000,1.007720,34440.000000,77980.000000,95620.000000
-0.010736,0.003416,1.009672,32480.000000,79450.000000,95340.000000
-0.005856,0.003416,1.010160,30730.000000,80990.000000,95900.000000
-0.009760,0.001464,1.011136,29680.000000,81620.000000,97580.000000
-0.006832,-0.001952,1.004792,27090.000000,82880.000000,97930.000000
-0.008296,0.001952,1.003328,24710.000000,84350.000000,97440.000000
-0.010248,0.001952,1.004792,24080.000000,85330.000000,96810.000000
-0.006832,0.000976,1.000400,25340.000000,85540.000000,96320.000000
-0.005368,0.003416,1.000400,28140.000000,85330.000000,95830.000000
-0.006344,0.004392,1.006744,31710.000000,85400.000000,94850.000000
-0.012200,0.002928,1.010160,35000.000000,86100.000000,93380.000000
-0.009760,0.003904,1.004304,36470.000000,87360.000000,92260.000000
-0.004880,0.006344,1.007720,36190.000000,88690.000000,92050.000000
-0.004392,0.002928,1.006256,34790.000000,90160.000000,92190.000000
-0.009272,-0.000488,1.002352,33110.000000,91770.000000,92050.000000
-0.009272,0.002440,1.007720,31920.000000,93030.000000,91490.000000
-0.001464,0.004880,1.006744,31780.000000,93730.000000,90720.000000
-0.007808,0.003416,1.004792,32830.000000,94080.000000,89880.000000
-0.008296,0.001464,1.008696,34020.000000,94360.000000,88970.000000
-0.005856,0.001952,1.008696,35000.000000,94710.000000,87920.000000
-0.005856,0.001464,0.996984,35070.000000,95550.000000,86800.000000
-0.003416,0.000976,1.009184,34160.000000,96530.000000,85960.000000
-0.012688,0.002440,1.011136,32830.000000,97440.000000,85260.000000
-0.009272,0.002440,1.005280,31780.000000,98420.000000,84350.000000
-0.004880,0.003904,1.008696,31220.000000,99330.000000,83440.000000
-0.006344,0.000976,1.006744,31430.000000,100100.000000,82390.000000
-0.004392,0.004880,1.012112,31990.000000,100450.000000,81200.000000
-0.011224,0.001952,1.002840,32550.000000,100800.000000,80010.000000
-0.010248,0.000000,1.002840,32690.000000,101150.000000,78820.000000
-0.007808,0.002440,1.002840,32550.000000,101640.000000,78120.000000
-0.006832,0.005368,1.005768,31920.000000,102410.000000,77420.000000
-0.008296,0.008784,1.010648,31500.000000,102830.000000,76510.000000
-0.008296,0.003904,1.005768,31570.000000,103180.000000,75530.000000
-0.004880,-0.001952,1.006256,31850.000000,103390.000000,74550.000000
-0.002928,0.001952,1.006256,32760.000000,103460.000000,73500.000000
